abandons, simple present, abandon
ways, plural form, way
weaker, comparative degree, weak
weakest, superlative, weak
weaknesses, plural form, weakness
wealthier, comparative degree, wealthy
wealthiest, superlative, wealthy
weapons, plural form, weapon
weaponed, past participle, weapon
weaponing, present participle, weapon
wears, simple present, wear
wearing, present participle, wear
wore, past tense, wear
worn, past participle, wear
weathers, simple present, weather
weathering, present participle, weather
weathered, past tense, weather
webs, plural form, web
webbed, past participle, web
webbing, present participle, web
websites, plural form, website
weddings, plural form, wedding
wednesdays, plural form, wednesday
weeks, plural form, week
weekends, plural form, weekend
weekending, present participle, weekend
weekended, past participle, weekend
weighs, simple present, weigh
weighing, present participle, weigh
weighed, past participle, weigh
weights, plural form, weight
weighting, present participle, weight
weighted, past participle, weight
welcomes, plural form, welcome
welcomed, past participle, welcome
welcoming, present participle, welcome
better, comparative degree, well
best, superlative, well
wells, plural form, well
welled, past participle, well
welling, present participle, well
westerns, plural form, western
wets, simple present, wet
wetting, present participle, wet
wetter, comparative degree, wet
wettest, superlative, wet
wheels, simple present, wheel
wheeling, present participle, wheel
wheeled, past tense, wheel
whens, plural form, when
wheres, plural form, where
whispered, past participle, whisper
whispering, present participle, whisper
whispers, simple present, whisper
whiter, comparative degree, white
whitest, superlative, white
whites, plural form, white
whited, past participle, white
whiting, present participle, white
wholes, plural form, whole
whys, plural form, why
wider, comparative degree, wide
widest, superlative, wide
wides, plural form, wide
wives, plural form, wife
wilder, comparative degree, wild
wildest, superlative, wild
wills, plural form, will
willing, present participle, will
willed, past participle, will
wins, plural form, win
winning, present participle, win
won, past tense, win
winds, plural form, wind
winding, present participle, wind
winded, past participle, wind
wound, past tense, wind
windows, plural form, window
wines, plural form, wine
wings, plural form, wing
winged, past participle, wing
winging, present participle, wing
winners, plural form, winner
winters, plural form, winter
wintered, past participle, winter
wintering, present participle, winter
wires, plural form, wire
wiring, present participle, wire
wired, past participle, wire
wiser, comparative degree, wise
wisest, superlative, wise
wishes, plural form, wish
wished, past participle, wish
wishing, present participle, wish
witnesses, simple present, witness
witnessing, present participle, witness
witnessed, past tense, witness
women, plural form, woman
wonders, plural form, wonder
wondering, present participle, wonder
wondered, past tense, wonder
woods, plural form, wood
wooded, past participle, wood
wooding, present participle, wood
words, simple present, word
wording, present participle, word
worded, past tense, word
works, simple present, work
working, present participle, work
worked, past tense, work
workers, plural form, worker
worlds, plural form, world
worries, simple present, worry
worrying, present participle, worry
worried, past participle, worry
worsted, past participle, worst
worsting, present participle, worst
worsts, simple present, worst
wounds, plural form, wound
wounded, past participle, wound
wounding, present participle, wound
wows, simple present, wow
wowing, present participle, wow
wowed, past tense, wow
wraps, simple present, wrap
wrapping, present participle, wrap
wrapped, past participle, wrap
writes, simple present, write
writing, present participle, write
wrote, past tense, write
written, past participle, write
writers, plural form, writer
wrongs, simple present, wrong
wronging, present participle, wrong
wronged, past tense, wrong
wronger, comparative degree, wrong
wrongest, superlative, wrong
yards, plural form, yard
yarded, past participle, yard
yarding, present participle, yard
years, plural form, year
yellows, simple present, yellow
yellowing, present participle, yellow
yellowed, past tense, yellow
yeses, plural form, yes
yesses, plural form, yes
yesterdays, plural form, yesterday
younger, comparative degree, young
youngest, superlative, young
yourselves, plural form, yourself
youths, plural form, youth
zeroes, plural form, zero
zeroing, present participle, zero
zeroed, past tense, zero
zones, plural form, zone
zoned, past participle, zone
zoning, present participle, zone
